pedestrians,towards_manhattan,towards_brooklyn,date,weather,events
2242,949,1293,2019-04-22,cloudy,Easter Monday
3,2,1,2019-03-25,cloudy,nan
44,31,13,2019-06-12,clear-night,nan
664,415,249,2019-08-30,clear-day,nan
2765,1174,1591,2019-08-04,partly-cloudy-day,nan
893,415,478,2019-12-13,cloudy,nan
2072,996,1076,2019-07-26,partly-cloudy-day,nan
2363,1190,1173,2019-09-21,clear-day,nan
0,0,0,2019-11-03,clear-night,nan
384,167,217,2019-10-10,partly-cloudy-day,nan
3,2,1,2019-01-01,cloudy,New Year's Day
1,0,1,2019-03-14,cloudy,nan
0,0,0,2019-10-30,cloudy,nan
34,23,11,2019-12-18,cloudy,nan
1714,846,868,2019-05-10,partly-cloudy-day,nan
2,1,1,2019-09-22,clear-night,nan
5,2,3,2019-10-27,clear-night,nan
1311,636,675,2019-12-11,partly-cloudy-day,nan
291,119,172,2019-07-16,clear-day,nan
3615,1632,1983,2019-10-12,partly-cloudy-day,nan
320,145,175,2019-07-11,rain,nan
188,108,80,2019-09-07,clear-night,nan
333,166,167,2019-02-06,clear-day,nan
2574,1080,1494,2019-05-06,clear-day,nan
3,3,0,2019-02-20,clear-night,nan
607,279,328,2019-01-19,cloudy,nan
3,3,0,2019-01-06,nan,nan
1708,838,870,2019-03-29,cloudy,nan
389,197,192,2019-12-07,clear-day,nan
1942,889,1053,2019-08-06,partly-cloudy-day,nan
0,0,0,2019-04-06,cloudy,nan
133,64,69,2019-01-11,clear-night,nan
95,42,53,2019-03-08,clear-day,nan
17,14,3,2019-08-25,partly-cloudy-night,nan
2590,1167,1423,2019-11-02,clear-day,nan
1535,858,677,2019-09-25,clear-day,nan
0,0,0,2019-03-30,partly-cloudy-night,nan
23,10,13,2019-08-14,partly-cloudy-night,nan
20,18,2,2019-04-29,clear-night,nan
2336,1193,1143,2019-02-17,clear-day,nan
137,97,40,2019-01-16,partly-cloudy-night,nan
2,1,1,2019-02-22,clear-night,nan
1,0,1,2019-11-24,rain,nan
794,380,414,2019-02-06,cloudy,nan
124,53,71,2019-06-30,clear-day,nan
695,392,303,2019-08-08,partly-cloudy-day,nan
247,131,116,2019-01-19,partly-cloudy-day,nan
132,48,84,2019-01-28,clear-night,nan
1120,393,727,2019-05-26,cloudy,nan
85,41,44,2019-01-22,clear-night,nan
1299,624,675,2019-06-25,cloudy,nan
1,0,1,2019-04-10,clear-night,nan
1,0,1,2019-10-27,cloudy,nan
0,0,0,2019-03-24,clear-night,nan
0,0,0,2019-11-21,clear-night,nan
0,0,0,2019-11-10,partly-cloudy-night,nan
0,0,0,2019-08-26,clear-night,nan
2160,1016,1144,2019-03-16,partly-cloudy-day,nan
167,63,104,2019-07-12,partly-cloudy-day,nan
1764,978,786,2019-05-22,clear-day,nan
14,3,11,2019-04-29,cloudy,nan
12,6,6,2019-03-05,partly-cloudy-night,nan
37,20,17,2019-08-07,partly-cloudy-night,nan
103,102,1,2019-12-23,clear-night,nan
1552,710,842,2019-01-26,partly-cloudy-day,nan
1203,495,708,2019-03-12,partly-cloudy-day,nan
2397,1147,1250,2019-07-12,partly-cloudy-day,nan
2268,1125,1143,2019-07-03,partly-cloudy-day,nan
341,134,207,2019-09-09,partly-cloudy-day,nan
671,397,274,2019-08-19,partly-cloudy-day,nan
59,46,13,2019-07-27,clear-night,nan
0,0,0,2019-01-12,clear-night,nan
0,0,0,2019-01-29,clear-night,nan
0,0,0,2019-12-02,cloudy,nan
0,0,0,2019-10-03,cloudy,nan
14,11,3,2019-11-02,cloudy,Daylight Saving Time ends
1059,419,640,2019-08-11,partly-cloudy-night,nan
229,100,129,2019-08-13,cloudy,nan
2393,1051,1342,2019-09-08,partly-cloudy-day,nan
525,201,324,2019-10-28,partly-cloudy-day,nan
104,70,34,2019-02-24,rain,nan
580,344,236,2019-01-09,clear-day,nan
2518,1200,1318,2019-12-15,partly-cloudy-day,nan
24,23,1,2019-01-25,clear-night,nan
47,36,11,2019-08-22,rain,nan
1204,611,593,2019-07-17,partly-cloudy-day,nan
13,7,6,2019-03-01,cloudy,nan
27,12,15,2019-07-06,partly-cloudy-night,nan
5,0,5,2019-09-28,clear-night,nan
1675,749,926,2019-10-08,cloudy,nan
418,176,242,2019-07-11,clear-day,nan
14,10,4,2019-09-16,partly-cloudy-night,nan
319,180,139,2019-02-13,clear-day,nan
17,12,5,2019-02-05,clear-night,nan
13,8,5,2019-05-21,clear-night,nan
2703,1046,1657,2019-07-06,rain,nan
1,0,1,2019-09-16,partly-cloudy-night,nan
120,120,0,2019-02-18,clear-night,Presidents' Day (regional holiday)
3,2,1,2019-03-03,snow,nan
1382,620,762,2019-07-08,clear-day,nan
281,124,157,2019-09-20,clear-day,nan
973,398,575,2019-11-22,cloudy,nan
16,11,5,2019-08-18,cloudy,nan
2,0,2,2019-06-21,partly-cloudy-night,nan
1531,697,834,2019-11-21,clear-day,nan
198,65,133,2019-06-10,cloudy,nan
942,396,546,2019-12-13,cloudy,nan
441,228,213,2019-03-04,cloudy,nan
1200,638,562,2019-01-01,partly-cloudy-day,New Year's Day
1136,558,578,2019-04-02,partly-cloudy-day,nan
0,0,0,2019-03-13,clear-night,nan
1862,792,1070,2019-05-06,cloudy,nan
