weather,temperature,precipitation
cloudy,34,0.0092
clear-day,46,0
cloudy,34,0.0068
rain,62,0.1179
partly-cloudy-night,38,0
clear-night,39,0
clear-day,72,0
clear-day,56,0
cloudy,72,0
clear-night,42,0
cloudy,70,0.0038
cloudy,55,0
clear-night,34,0
partly-cloudy-night,71,0
clear-day,76,0
clear-night,74,0
clear-night,70,0
clear-day,84,0
partly-cloudy-day,79,0
clear-day,51,0
clear-day,34,0
clear-night,53,0
clear-day,88,0
partly-cloudy-day,84,0
clear-night,33,0
clear-day,47,0
partly-cloudy-night,54,0
clear-night,28,0
partly-cloudy-day,75,0
partly-cloudy-night,53,0
clear-night,37,0
clear-day,25,0
clear-night,61,0
clear-night,61,0
partly-cloudy-day,79,0
clear-night,70,0
cloudy,61,0
clear-night,25,0
clear-night,38,0
partly-cloudy-day,58,0
cloudy,40,0
clear-night,34,0
partly-cloudy-day,35,0
clear-night,3,0
clear-day,86,0
cloudy,50,0
partly-cloudy-night,65,0
clear-night,41,0
clear-night,68,0
clear-day,72,0
partly-cloudy-night,66,0
clear-night,61,0
clear-night,74,0
clear-day,40,0
rain,58,0.0021
clear-day,51,0
partly-cloudy-night,46,0
clear-day,80,0
cloudy,37,0
partly-cloudy-day,52,0
cloudy,53,0
clear-night,32,0
cloudy,71,0
clear-night,52,0
rain,86,0.0408
partly-cloudy-day,81,0
partly-cloudy-day,69,0
cloudy,55,0
clear-day,66,0
rain,71,0.005
cloudy,61,0
cloudy,46,0
rain,61,0.0373
cloudy,54,0
clear-night,22,0
clear-night,65,0
partly-cloudy-night,44,0.0036
rain,62,0.0372
partly-cloudy-day,92,0
clear-night,54,0
rain,68,0.0795
clear-night,69,0
rain,79,0.118
cloudy,69,0.005
cloudy,63,0
clear-night,61,0
partly-cloudy-day,50,0
cloudy,34,0.0046
clear-day,69,0
cloudy,63,0
clear-night,61,0
partly-cloudy-night,49,0
partly-cloudy-night,73,0
cloudy,39,0
clear-day,59,0
clear-day,72,0
clear-night,40,0
partly-cloudy-day,73,0
cloudy,43,0
clear-night,28,0
partly-cloudy-day,70,0
partly-cloudy-day,76,0
clear-night,37,0
cloudy,41,0
clear-day,65,0
partly-cloudy-day,63,0
partly-cloudy-day,50,0.0043
clear-day,62,0
partly-cloudy-day,83,0
partly-cloudy-night,35,0
clear-night,44,0
rain,37,0.0202
partly-cloudy-night,50,0
clear-night,69,0
cloudy,68,0
partly-cloudy-night,71,0
clear-night,53,0
cloudy,53,0
clear-night,6,0
clear-night,32,0
clear-night,70,0
rain,51,0.0318
cloudy,65,0
clear-day,60,0
cloudy,60,0
partly-cloudy-day,81,0
partly-cloudy-night,70,0
partly-cloudy-day,32,0
rain,61,0.0174
clear-day,72,0
partly-cloudy-night,79,0
clear-night,77,0
partly-cloudy-day,65,0
partly-cloudy-night,71,0
cloudy,39,0.0021
cloudy,53,0
clear-night,40,0
cloudy,35,0
clear-day,64,0
clear-night,43,0
partly-cloudy-night,30,0
partly-cloudy-night,43,0
clear-day,88,0
cloudy,68,0
partly-cloudy-night,31,0
clear-night,13,0
clear-night,74,0
clear-night,39,0
wind,69,0
clear-day,70,0
cloudy,57,0
cloudy,45,0
rain,60,0.0224
rain,75,0.062
cloudy,51,0
partly-cloudy-day,68,0
clear-day,78,0
clear-night,40,0
clear-night,72,0
cloudy,44,0.0195
partly-cloudy-night,63,0
clear-night,60,0
cloudy,56,0
cloudy,45,0.0055
clear-night,80,0
rain,59,0.6804
partly-cloudy-day,84,0
partly-cloudy-day,74,0
clear-night,81,0
partly-cloudy-day,80,0
partly-cloudy-day,37,0
cloudy,61,0.0162
clear-day,44,0
clear-day,44,0
partly-cloudy-day,83,0
clear-day,85,0
clear-day,47,0
partly-cloudy-night,53,0
partly-cloudy-night,43,0
partly-cloudy-day,37,0
partly-cloudy-night,41,0
clear-day,76,0
rain,53,0.058
partly-cloudy-night,66,0
cloudy,32,0
clear-night,41,0
partly-cloudy-night,31,0
clear-night,44,0
rain,38,0.0184
clear-night,45,0
clear-night,72,0
cloudy,41,0.0021
clear-night,21,0
clear-night,10,0
cloudy,62,0
cloudy,71,0
clear-day,39,0
clear-night,38,0
partly-cloudy-night,41,0
clear-day,24,0
rain,41,0.0026
partly-cloudy-day,71,0
partly-cloudy-day,51,0
rain,59,0.0332
cloudy,60,0.00090
clear-night,29,0
clear-night,33,0
partly-cloudy-day,83,0
partly-cloudy-night,58,0
clear-night,65,0
cloudy,64,0.0019
clear-night,62,0
partly-cloudy-day,52,0.0016
cloudy,45,0
clear-day,32,0
clear-night,73,0
clear-night,65,0
cloudy,31,0
partly-cloudy-day,82,0
partly-cloudy-night,65,0
partly-cloudy-night,42,0
clear-night,36,0
rain,71,0.1335
partly-cloudy-day,31,0
cloudy,39,0.0105
partly-cloudy-day,76,0
partly-cloudy-day,73,0
cloudy,37,0
cloudy,71,0
cloudy,73,0
partly-cloudy-night,76,0
partly-cloudy-night,61,0
clear-day,56,0
